America’s Misguided Immigration Debate	アメリカの見当違いな移民討論
A debate on immigration is beginning in the United States Senate, which will take up several proposals.	米国の上院において、移民に関する討論が始まっている。 この討論においては、いくつかの提案が取り上げられることになる。
These include a hateful bill – which the House of Representatives has already approved – that provides for the construction of a wall along the US-Mexican border and makes unauthorized entry into the US a felony.	その中には（既に下院が承認した）米国－メキシコ国境に沿う壁の建設費を提供し、米国への無許可の入国を重罪と位置づけることになる、疎ましい議案も含まれている。
The US Senate will also consider a bill co-authored by Senator Edward Kennedy and Senator John McCain, which proposes stronger border enforcement, a temporary workers program with a path to residency and citizenship, and legalization for people already in the US without papers.	米国上院では、エドワード・ケネディー上院議員、ジョン・マッケイン上院議員共著による議案についても検討される。 彼らは、国境のさらなる強化、研修期間と市民権取得へのチャンスを含む臨時労働者プログラム、そして既に米国に住んでいる不法滞在者たちのための合法化などを提案している。
Another idea is to require anyone in the US wanting to regularize their immigration status to go home and wait in line there.	また、移住手続きを整えたいと望む者全てに対し、いったん帰国したうえでの順番待ちを求めるという考えがある。
This last component is largely rhetoric; it is hard to imagine any Mexican already in the US voluntarily returning to, say, Zacatecas to wait patiently in line for a new visa.	この最後の構成部分は主として修辞的である。 すでにアメリカにいるメキシコ人が自ら、新しいビザ交付を忍耐強く待つために、例えばサカテカスの町へ戻るとは想像し難い。
President George W. Bush has been skirting the question ever since he committed himself to an immigration agreement with Mexico when he visited President Vicente Fox in Guanajuato almost exactly five years ago.	ジョージ・W・ブッシュ大統領は、ほぼちょうど５年前、グァナファトにヴィセンテ・フォックス大統領を訪問し、メキシコとの移住協定への尽力を約束して以来、この問題を回避し続けてきた。
Finally, and perhaps most importantly, there is Senate Judiciary Committee Chairman Arlen Specter’s compromise proposal.	最後に挙げるのは、おそらく最も重要である、上院司法委員会のアーレン・スペクター委員長が示した妥協案である。
Specter’s proposal also provides for reinforced security at the border, as well as a six-year non-renewable Temporary Workers Program without a path to residency, although it would allow unauthorized immigrants to remain in the US with a new, non-immigrant status.	スペクターもまた、国境警備の強化や、6ヵ年更新不可能の臨時労働者プログラムを提案する。 このプログラムは、市民権取得のチャンスがないものだが、無許可の移民が、新たに非移民という身分で米国内に残ることを可能にする。
The latter status may or may not include a path to residency and citizenship; fudging the issue may be a negotiating tactic to avoid debate over whether this is a form of disguised amnesty (which, fortunately, to a certain extent, it is).	後者の身分には、市民権取得のチャンスが含まれるとも含まれないともいえる；問題をはぐらかしているのは、これが装いを変えた恩赦の一形態（幸いにも、ある程度までは、そうであると言える）なのかという討論を避けるための交渉戦術であるといえるかもしれない。
What’s missing in the debate is the Latin American context.	これらの討論に欠けているのは、ラテンアメリカの状況である。
There was a time when north-south migratory flows in the western hemisphere were limited to Mexico and the Caribbean.	かつての西半球において、南北の移民流入がメキシコとカリブ海に制限された時代があった。
