America’s Misguided Immigration Debate	アメリカ の 見当 違い な 移民 討論
A debate on immigration is beginning in the United States Senate, which will take up several proposals.	米国 の 上院 に おい て 、 移民 に 関する 討論 が 始まっ て いる 。 この 討論 に おい て は 、 いく つ か の 提案 が 取り上げ られる こと に なる 。
These include a hateful bill – which the House of Representatives has already approved – that provides for the construction of a wall along the US-Mexican border and makes unauthorized entry into the US a felony.	その 中 に は （ 既に 下院 が 承認 し た ） 米国 － メキシコ 国境 に 沿う 壁 の 建設 費 を 提供 し 、 米国 へ の 無 許可 の 入国 を 重罪 と 位置 づける こと に なる 、 疎ましい 議案 も 含ま れ て いる 。
The US Senate will also consider a bill co-authored by Senator Edward Kennedy and Senator John McCain, which proposes stronger border enforcement, a temporary workers program with a path to residency and citizenship, and legalization for people already in the US without papers.	米国 上院 で は 、 エドワード ・ ケネディ ー 上院 議員 、 ジョン ・ マッ ケイン 上院 議員 共著 に よる 議案 に つい て も 検討 さ れる 。 彼 ら は 、 国境 の さらなる 強化 、 研修 期間 と 市民 権 取得 へ の チャンス を 含む 臨時 労働 者 プログラム 、 そして 既に 米国 に 住ん で いる 不法 滞在 者 たち の ため の 合法 化 など を 提案 し て いる 。
Another idea is to require anyone in the US wanting to regularize their immigration status to go home and wait in line there.	また 、 移住 手続き を 整え たい と 望む 者 全て に 対し 、 いったん 帰国 し た うえ で の 順番 待ち を 求める と いう 考え が ある 。
This last component is largely rhetoric; it is hard to imagine any Mexican already in the US voluntarily returning to, say, Zacatecas to wait patiently in line for a new visa.	この 最後 の 構成 部分 は 主 と し て 修辞 的 で ある 。 すでに アメリカ に いる メキシコ 人 が 自ら 、 新しい ビザ 交付 を 忍耐 強く 待つ ため に 、 例えば サカテカス の 町 へ 戻る と は 想像 し 難い 。
President George W. Bush has been skirting the question ever since he committed himself to an immigration agreement with Mexico when he visited President Vicente Fox in Guanajuato almost exactly five years ago.	ジョージ ・ W ・ ブッシュ 大統領 は 、 ほぼ ちょうど ５ 年 前 、 グァナファト に ヴィセンテ ・ フォックス 大統領 を 訪問 し 、 メキシコ と の 移住 協定 へ の 尽力 を 約束 し て 以来 、 この 問題 を 回避 し 続け て き た 。
Finally, and perhaps most importantly, there is Senate Judiciary Committee Chairman Arlen Specter’s compromise proposal.	最後 に 挙げる の は 、 おそらく 最も 重要 で ある 、 上院 司法 委員 会 の アーレン ・ スペクター 委員 長 が 示し た 妥協 案 で ある 。
Specter’s proposal also provides for reinforced security at the border, as well as a six-year non-renewable Temporary Workers Program without a path to residency, although it would allow unauthorized immigrants to remain in the US with a new, non-immigrant status.	スペクター も また 、 国境 警備 の 強化 や 、 6 ヵ年 更新 不 可能 の 臨時 労働 者 プログラム を 提案 する 。 この プログラム は 、 市民 権 取得 の チャンス が ない もの だ が 、 無 許可 の 移民 が 、 新た に 非 移民 と いう 身分 で 米国 内 に 残る こと を 可能 に する 。
The latter status may or may not include a path to residency and citizenship; fudging the issue may be a negotiating tactic to avoid debate over whether this is a form of disguised amnesty (which, fortunately, to a certain extent, it is).	後者 の 身分 に は 、 市民 権 取得 の チャンス が 含ま れる とも 含ま れ ない と も いえる ； 問題 を はぐらかし て いる の は 、 これ が 装い を 変え た 恩赦 の 一 形態 （ 幸い に も 、 ある 程度 まで は 、 そう で ある と 言える ） な の か と いう 討論 を 避ける ため の 交渉 戦術 で ある と いえる か も しれ ない 。
What’s missing in the debate is the Latin American context.	これ ら の 討論 に 欠け て いる の は 、 ラテンアメリカ の 状況 で ある 。
